pulses;x;y;z
0;-0.120316;0.634949;-0.699631
1;-0.161545;0.643997;-0.738541
2;-0.173538;0.611267;-0.782562
3;-0.193573;0.645340;-0.752869
4;-0.199417;0.656708;-0.730621
5;-0.190720;0.640930;-0.750961
6;-0.165482;0.632889;-0.758743
7;-0.172485;0.641464;-0.747986
8;-0.169128;0.630157;-0.752686
9;-0.164444;0.625717;-0.745178
10;-0.155518;0.625748;-0.751999
11;-0.143585;0.631638;-0.761261
12;-0.134766;0.640945;-0.768356
13;-0.136368;0.642532;-0.775131
14;-0.137177;0.651123;-0.767487
15;-0.131180;0.651230;-0.767883
16;-0.136749;0.642944;-0.766541
17;-0.145935;0.639297;-0.751068
18;-0.157227;0.639099;-0.751495
19;-0.169617;0.633530;-0.750366
20;-0.189316;0.636749;-0.751190
21;-0.200531;0.634186;-0.755096
22;-0.209000;0.630966;-0.743546
23;-0.251282;0.622314;-0.730820
24;-0.287231;0.631226;-0.748306
25;-0.306625;0.612701;-0.779449
26;-0.279526;0.658676;-0.793442
27;-0.264877;0.661285;-0.734726
28;-0.205704;0.672562;-0.712646
29;-0.168732;0.659119;-0.718765
30;-0.183731;0.646118;-0.710693
31;-0.197159;0.647568;-0.692169
32;-0.187195;0.642715;-0.689148
33;-0.188660;0.634918;-0.714722
34;-0.210205;0.607712;-0.736313
35;-0.200272;0.596085;-0.748199
36;-0.197647;0.599106;-0.760712
37;-0.217773;0.606415;-0.769943
38;-0.234543;0.608582;-0.771637
39;-0.225952;0.604813;-0.785812
40;-0.208344;0.592377;-0.804916
41;0.029343;-0.036102;-1.867645
42;3.567444;-0.739487;4.482452
43;0.145081;2.934082;-0.224792
44;-0.081940;1.466919;-0.424652
45;-1.780029;-0.094894;-1.476364
46;-1.978668;-0.239471;-0.024185
47;-0.171692;1.187973;-0.337311
48;0.307922;0.827820;-0.858948
49;-0.452835;0.633636;-0.501190
50;-0.838760;0.941650;-0.669556
51;-0.547974;0.898911;-0.633835
52;0.035339;0.719650;-0.572357
53;0.077469;0.668854;-0.791901
54;-0.020218;0.589523;-0.695480
55;-0.104523;0.569946;-0.735596
56;-0.078445;0.532776;-0.805954
57;-0.002853;0.520966;-0.770523
58;-0.030533;0.511826;-0.790710
59;-0.065109;0.549622;-0.872253
60;-0.075668;0.552612;-0.914398
61;-0.062973;0.582962;-0.917328
62;-0.039307;0.633759;-0.886597
63;-0.035522;0.642319;-0.839630
